Name,Birth,Death,Number,Canonized
Athanasius,297,373,1,373
Ephrem,306,373,2,373
Cyril of Jerusalem,315,386,3,386
Hilary of Poitiers,315,368,4,368
Gregory Nazianzen,329,389,5,389
Basil the Great,330,379,6,379
Ambrose,340,397,7,397
Jerome,347,420,8,420
John Chrysostom,347,407,9,407
Agustine,354,430,10,430
Cyril of Alexandria,376,444,11,444
Leo the Great ,400,461,12,461
Peter Chrysologus,406,450,13,450
Gregory the Great,540,604,14,604
Isidore of Seville,560,636,15,636
Bede the Venerable,672,735,16,735
John Damascene,676,749,17,749
Gregory of Narek,945,1003,18,2015
Peter Damian,1007,1072,19,1072
Anselm,1033,1109,20,1163
Bernard of Clairvaux,1090,1153,21,1174
Hildegarde of Bingen,1098,1179,22,2012
Anthony of Padua,1195,1231,23,1232
Albert the Great,1206,1280,24,1280
Bonaventure,1221,1274,25,1482
Thomas Aquinas,1225,1274,26,1323
Catherine of Siena,1347,1380,27,1461
John of Avila,1499,1569,28,1569
Teresa of Avila,1515,1582,29,1622
Peter Canisius,1521,1597,30,1925
Robert Bellarmine,1542,1621,31,1930
John of the Cross,1542,1591,32,1726
Lawrence of Brindisi,1559,1619,33,1619
Francis de Sales,1567,1622,34,1665
Alphonsus Liguori,1696,1787,35,1839
Therese of Lisieux,1873,1897,36,1925